
Status   Name               DisplayName                           
------   ----               -----------                           
Running  aciseagent         Cisco AnyConnect Secure Mobility IS...
Stopped  AJRouter           AllJoyn Router Service                
Stopped  ALG                Application Layer Gateway Service     
Stopped  ApHidMonitorSer... Alps HID Monitor Service              
Running  AppHostSvc         Application Host Helper Service       
Stopped  AppIDSvc           Application Identity                  
Running  Appinfo            Application Information               
Stopped  AppMgmt            Application Management                
Stopped  AppReadiness       App Readiness                         
Stopped  AppVClient         Microsoft App-V Client                
Stopped  AppXSvc            AppX Deployment Service (AppXSVC)     
Stopped  aspnet_state       ASP.NET State Service                 
Stopped  AssignedAccessM... AssignedAccessManager Service         
Running  AudioEndpointBu... Windows Audio Endpoint Builder        
Running  Audiosrv           Windows Audio                         
Stopped  AxInstSV           ActiveX Installer (AxInstSV)          
Running  bcua-service       Blue Coat Unified Agent               
Running  BDESVC             BitLocker Drive Encryption Service    
Running  BFE                Base Filtering Engine                 
Running  BITS               Background Intelligent Transfer Ser...
Running  BrokerInfrastru... Background Tasks Infrastructure Ser...
Running  Browser            Computer Browser                      
Stopped  BthHFSrv           Bluetooth Handsfree Service           
Stopped  bthserv            Bluetooth Support Service             
Stopped  CAF                Symantec CAF Service                  
Stopped  camsvc             Capability Access Manager Service     
Running  CcmExec            SMS Agent Host                        
Running  CDPSvc             Connected Devices Platform Service    
Running  CDPUserSvc_182ac3  Connected Devices Platform User Ser...
Running  CertPropSvc        Certificate Propagation               
Stopped  ClipSVC            Client License Service (ClipSVC)      
Running  CmRcService        Configuration Manager Remote Control  
Stopped  COMSysApp          COM+ System Application               
Running  CoreMessagingRe... CoreMessaging                         
Running  cphs               Intel(R) Content Protection HECI Se...
Running  cplspcon           Intel(R) Content Protection HDCP Se...
Running  CryptSvc           Cryptographic Services                
Stopped  CscService         Offline Files                         
Running  CxAudioSvc         CxAudioSvc                            
Running  CxUtilSvc          CxUtilSvc                             
Running  DcomLaunch         DCOM Server Process Launcher          
Stopped  defragsvc          Optimize drives                       
Running  DeviceAssociati... Device Association Service            
Stopped  DeviceInstall      Device Install Service                
Running  DevicesFlowUser... DevicesFlow_182ac3                    
Stopped  DevQueryBroker     DevQuery Background Discovery Broker  
Running  Dhcp               DHCP Client                           
Stopped  diagnosticshub.... Microsoft (R) Diagnostics Hub Stand...
Stopped  diagsvc            Diagnostic Execution Service          
Running  DiagTrack          Connected User Experiences and Tele...
Stopped  DmEnrollmentSvc    Device Management Enrollment Service  
Stopped  dmwappushservice   dmwappushsvc                          
Running  Dnscache           DNS Client                            
Stopped  DoSvc              Delivery Optimization                 
Stopped  dot3svc            Wired AutoConfig                      
Running  DPS                Diagnostic Policy Service             
Stopped  DsmSvc             Device Setup Manager                  
